口コミ,投稿日,preprocessed_text
年末の家族旅行でお世話になりました。どうも有難うございました。一番のおすすめは、湯の里おかだとホテルおかだのふたつの施設の温泉を利用できるという点です。どちらの温泉に行くにも一度屋外に出ていく必要はありますが、庇下を通れますし部屋に備えつけのスリッパで移動できます。湯の里おかだの温泉は野天風呂の岩の傾斜が丁度良く、泉質も自分にあっていたのか、ゆったりとうたた寝しながらリラックスして入れました。ホテルおかだの温泉は朝夕男女入れ替え式で、脱衣所、内湯ともに広々としていて贅沢。化粧台スペースやアメニティグッズが充実しており、さすがな感じです。夕食は想像以上に質量ともに十分で、コストパフォーマンスは良いと思います。朝食は和食バイキング形式で、バリエーションも十分だと感じました。スタッフの方々は皆さん丁寧でしっかりしていました。部屋は家族４人にとっては必要十分。ただ、テレビは決して大きくないです。小中学生ぐらいまでの元気なお子さんがいるご家族や、比較的身体の元気な若年層のグループに、コスパを求めたご旅行におすすめします。,2019-12-30,年末 家族 一番 湯の里 ホテル ふたつ 施設 点 どちら 屋外 必要 庇 下 スリッパ 移動 湯 里 野天風呂 岩 傾斜 丁度 泉 質 自分 うたた寝 リラックス ホテル 朝夕 男女 入れ替え 式 脱衣 所 内湯 とも 贅沢 化粧 台 スペース アメニティ グッズ 充実 感じ 夕食 想像 以上 質量 とも 十分 コストパフォーマンス 朝食 和食 バイキング 形式 バリエーション 十分 方々 皆さん 丁寧 家族 人 必要 十 分 テレビ 小中学生 元気 お子さん 家族 身体 元気 若年 層 グループ パ
箱根の温泉を楽しめました！色々な種類がありとても楽しめました他の温泉街も近いので楽しめると思います,2019-12-28,箱根 色々 種類 他 街
星空が満喫できる露天風呂で温泉三昧プランで予約しました。お風呂が、箱根の森にして本当に満足です。露天風呂堪能できました。一つ一つがとても大きいわけではないけど、少しずつ趣が異なり、夕焼けも美しくて展望が良かった。ちょっと石の床が滑りやすい気がしましたが・・本館のおかだに泊まるより、お風呂が近くて良かったです。,2019-12-23,星空 満喫 三昧 プラン 予約 箱根 森 満足 堪能 趣 夕焼け 展望 石 床 気 本館
彼氏の誕生日の旅行で利用しました。2人部屋なのでそこまで広くはなかったですが、特に狭さは感じませんでした。テレビの画質が少し荒かったかなと思いました。事前に誕生日ケーキを予約していたら、こっちの好きな時間で持ってきてくれるとのことでメールの対応も当日もとても対応良かったです！サプライズできて彼も喜んでくれました！お風呂はとても広くて露天風呂も複数あって良かったです！カミソリやアメニティセットがなかったので洗顔などは持って行ったほうがよさそうです。ご飯は夕食、朝食利用しました。夕食は豪勢で量もたくさんあったので満足してます。朝食はバイキング形式ですが、おかずの量が少なくて私の食べられる物があまりなかったです。。パンやポテト、唐揚げとかあったら嬉しかったです。,2019-12-23,彼氏 誕生 日 人 そこ テレビ 画質 事前 誕生 日 予約 こっち 好き 時間 メール 当日 サプライズ 彼 複数 カミソリ アメニティ セット 洗顔 ほう ご飯 夕食 朝食 夕食 豪勢 量 たくさん 満足 朝食 バイキング 形式 おかず 量 私 物 ポテト 唐 揚げ
宿の中に色々なお店があって回っているだけで飽きずにそれだけでも楽しめました。誕生日旅行での予約だったのですが相手もとても喜んでいて楽しんでくれていたので、良い旅行ができたと思います。また箱根に行った際　利用したいと思いました。有難う御座いました。,2019-12-22,宿 色々 店 誕生 日 予約 相手 箱根 際
国産黒毛和牛ステーキコースで予約しました。さすがにステーキは美味しかったです。他の料理も品数も多くて天ぷらなども熱々で和食のコースで良かったです。ただ19時食事開始でお願いしたら、最終回なせいか、食卓に料理が載っていて着席と同時に火を付けていただき、ちょっとせわしなく感じてしまったのが残念でした。お風呂は、とても良かったです。,2019-12-17,国産 黒毛 和牛 ステーキ コース 予約 ステーキ 他 天ぷら 熱々 和食 コース 食事 開始 お願い 最終 回 せい 食卓 着席 火 残念
ランクアップした料理は、ボリュームたっぷりで大満足でした。ただ、温泉の効能が薄く、スーパー銭湯へ行った感が残念だけど、おかだのお風呂は湯の質は良かったです。,2019-12-09,ランク アップ ボリューム たっぷり 満足 効能 スーパー 銭湯 感 残念 湯 質
窓からの景色は駐車場に停まってる車がばっちり見えたり、夕食の場所が普通の食堂のような感じの所だったのは、安いプランだったからしょうがないですが、期待していた温泉が、普通のお湯のように感じたのはなぜでしょうか？露天風呂は広くてノンビリできたのは良かったです。次に泊まる時はもう少し宿泊料金が高いプランにしようと思います。,2019-11-01,窓 景色 駐車 場 車 ちり 夕食 場所 普通 食堂 感じ 所 プラン しょうが 期待 普通 お湯 ? ビリ 宿泊 料金 プラン
宿泊前に何度か問い合わせのメールをしましたが、とても対応が良かったです。まだ小さな子がいるため有料の家族風呂をお借りしたのですが、周りを気にせず家族みんなでゆっくりできるのでオススメです。夕飯も量がちょうどよく、美味しくいただきました。朝ごはんは色々食べたかった事や子供のリクエストもありプラス料金でお隣のホテルおかださんのバイキングへ。和洋いろんなメニューにコーヒー、デザートもあって大満足です。チェックインしてしまうと、箱根の街を散歩やちょっと近くのコンビニへ…というアクセスのいい場所ではないので、できれば到着前に済ませておくのがいいかもしれません。また、三階の連絡通路(？）部分に喫煙所がありますが、受動喫煙が辛かったです。いろんな人が通るので場所の移動を希望します。,2019-10-27,宿泊 前 度 問い合わせ メール 子 有料 家族 周り 気 家族 みんな オススメ 夕飯 量 朝 ごはん 事 子供 リクエスト プラス 料金 お隣 ホテル バイキング 和洋 メニュー コーヒー デザート 満足 チェックイン 箱根 街 散歩 近く コンビニ アクセス 場所 到着 前 三 階 連絡 通路 (?) 部分 喫煙 所 受動 喫煙 人 場所 移動 希望
離れのふるさとを利用しました。予想以上に広くて驚きました！床暖房もあり過ごしやすかったです。足湯も部屋にあり利用させてもらいました。離れと聞きもっと遠いかと思いましたが全然そんな事ありませんでした。温泉も2ヶ所使用していいと聞き両方利用させてもらいました！大満足でした！ありがとうございました！,2019-10-25,離れ ふるさと 予想 以上 床 暖房 足湯 離れ 事 使用 両方 満足
