口コミ,投稿日
30年来の友人と久しぶりに一泊ツーリングで利用しました。県民割とクーポンで格安で利用することが出来ました。お風呂と部屋は良かったのですが、安く泊まれたので文句はありませんが、夕食の内容が寂しく残念感がぬぐえませんでした。部屋や食事のグレードアップ等、他のプランはわかりませんが、今回のプランで通常価格でしたら割高感が強く、リピートはちょっと無いかなぁという感じです。,2022-09-28
一泊２食付き和洋室プランで友人と利用させていただきました。今回二度目の利用でしたが、お部屋が広々としていて綺麗で大変満足でした。スタッフの方々も会う度に丁寧にご挨拶して下さり、とても良い印象でした。一点だけ残念だったのは食事です。夕食のメインの陶板焼きは質素で、ローストビーフも乾燥していて固くなっており、全て食べられませんでした。朝食も和食のみで、種類が他の旅館よりだいぶ少ないチョイスでした。総合的には満足しましたが、お食事を少し改善されたらもっと良くなると思いました。また機会があれば利用したいです。,2022-09-27
外観は古いですが部屋は綺麗です駅からのバスはホテルおかだに着くのでそこからは中を通り坂を登るか車を呼んでもらい箱根の森おかだに行く事になります温泉と晩御飯は宿泊している建物とは別になります温泉は良かったのですが部屋のお風呂に入ろうとしたらありえないくらい水圧が弱く、水ならちゃんと出るのですがお湯の方を出せば出すほど水圧が弱くなり赤ちゃんと入ったのですが出た時には二人とも体が冷たくなっていましたまた泊まることはないと思います,2022-09-26
まず第一は、ホテルわかりづらい姉妹店は、豪華で分かりやすいけどここは一番分かりにくかったし子供連れにはサービスは、いまいち!食事も、朝､夕食愛想悪いです!風呂は、良かったです!,2022-09-21
子供含めて５人で泊まりましたが、部屋は2部屋続きで広く、設備も充実、温泉も色々と種類があり、更にとなりのホテルの温泉も入れる。食事も朝晩ボリュームがあり、とても満足できました。,2022-09-16
前回、お風呂もご飯も接客もお部屋もどれも良かったので、今回も予約させて頂きました。一番気に入ってるのはお風呂で、５つくらい種類があってどのお風呂もとっても気持ち良かったです。ご飯はボリュームが凄かったのですが、美味しかったからしっかり完食出来て満足でしたし、子供はエビフライの大きさに驚いて大喜びでかじりついてました！お風呂上がりにゆっくり休めるとこもあるし、子供はゲームコーナーに大喜び（私も懐かしいゲームについ夢中になりました）お部屋も綺麗で広かったです。どの店員さんも丁寧で親切だったのでゆっくり癒しの時間を過ごせました。ありがとうございました！,2022-09-15
去年もお邪魔したのですが、その際は天候に恵まれずプールを満喫できなかったのですが、今年はプール、風呂、食事、大人はちょっぴりアルコール三昧の日々を過ごさせていただき、夏の疲れが癒されました。最上階の部屋は静かで景色も良く、広かったので心身ともにとても癒されました。食事も多いくらいのボリュームで３日で体重が１ｋｇ増量しました。それなのに非常にお値段もリーズナブルで、また来年も狙っております。,2022-09-07
駅からは、遠いいが、お風呂がいいね。いろんなお風呂が楽しめます。湯上がりも、ゆっくり出来るし、のんびりするには、最高です。,2022-09-03
今回初めて利用しました。かなりホテル近くの道は細めで行き交う車で渋滞が起きていてすれ違うのにかなりドキドキするほど狭かったです。ホテルに着くとフロントが小さいのにびっくりしました。受付の外国人の方はとても対応がよかったです。フロントとエレベーターが小さく心なしか寂しく感じます。お部屋は古さはありますが清潔感はあります。少し空調が臭う？！様な気はしましたが。　そして部屋に鍵が1個しかないのはとても不便でした。お風呂はとてもよかったです。　日帰りで利用してる方もいるのですが時間帯をズラせばとても空いていてゆっくり入れます。子供いたのでプールも利用したのですが少し衛生面がいまいちでした。プールに虫やゴミが浮いていたのが気になりした。子供はお構いなしで入ってましたが。　無料のマッサージチェアはとても気持ちよかったです。　ただ人の出入れがあるドアから丸見えなのが気になりました。向きを変えて頂くとよかったかも。,2022-08-31
初めての宿泊で朝食のみ利用。部屋の使い勝手は清潔感・広さは程よい。廊下が狭かったので近い部屋からの音、気になるか？　と懸念しましたが気になりませんでした。朝食は8時過ぎにいったところ、4組程いて　おかずがほぼ一品づつ置かれていて、ジャーに白飯は茶碗三杯分程。残り物感が否めず…。どうやらラストの客でした。決められた席は端の目の前は窓越しに通行人が横切るのが見える道。後ろには一組のファミリー。スカスカなのに、なぜにココ？という無言の圧を感じたのか、そこから広めの席を案内。味はいたって普通だし、旅先の楽しい朝食感ゼロ。また利用する機会あるなら、素泊まりで、チェックアウト後　駅周辺の人気店か箱根神社周辺のお店で早めランチした方が良き旅！と思う。さて、私が旅で重視する温泉。ホテルおかだの広々風呂&広々とした脱衣場も利用でき（年配の方や脚の弱い方は移動の階段がキツイかもです）緑を愛でながら足湯を楽しめ、晴れた空の下で高台で建物はなく緑に囲まれ様々な風呂が楽しめる露天風呂は自然に懐かれた風呂というかんじで最高でした！ソロ旅でも安心のお宿でした。また、機会ありましたら別の季節の露天風呂を味わいたいと思います。,2022-08-30
久しぶりの夫婦での旅に3つ星ホテルとあったので宿泊したが…部屋はかび臭く、あまりのかび臭さに眠れず、晩御飯のサラダにピンク色に変色したレタスの芯の輪切りがは入っていて…申し訳ないとあやまられても気持ち悪くそれ以上は食べれず（主人がかわりに食べていた_）お風呂だけはよかったが、もう二度と泊まりたくない宿になった。朝の風呂で、貴重品ロッカーのカギがなくなり…何度考えても巾着から無くなるはずなく…何とも不思議な体験だらけの宿だった。,2022-08-29
朝食が和食のみで、種類も少なかったのが残念でした。子供には和食よりパンやソーセージなどの洋食の方がいいかと思います。それ以外は普通に良かったです。,2022-08-26
別棟のふるさとに家族で1泊。足湯付きで子供に大ウケ。お部屋にお風呂がありませんなが、隣接するホテルおかだも日帰り温泉施設のお風呂も入り放題でなのでかなり楽しめました。お部屋は十分過ぎるほどの広さで、ゆっくり過ごせました。今回利用はしませんでしたが、プールもあり小学生までくらいなら十分楽しめる広さでした。個人的にはルームサービスがお得でオススメです。,2022-08-21
お風呂はバラエティに富んでて楽しかったですが、ジャクジーなどを使っているせいか、お湯がプールっぽい感じで、温泉感があまりなかった気がします。ホテルおかだのお風呂と足湯にもおじゃましました。部屋はホテルというよりは貸リゾートマンションみたいな感じでした。料理はあまり期待していなかったのですが、けっこうおいしくいただきました。朝食は温かいものがありませんでしたが、品数はあったし、値段を考えればよかったかなと思います。,2022-08-21
家族旅行で大人2名子供1名で宿泊しました。部屋も綺麗に準備してあり、ご飯もとても美味しかったです！！お風呂は貸切風呂に入った為露天風呂などは分かりませんが満足出来ました。,2022-08-18
